"Matrix","P&GmatID","Organism","Population","Trait1","Trait2","Pcorr","Gcorr","AbsDiff"
NA,"Arn1999.48.csv","Thamnophis.elegans",NA,"supralabialscales","postocularscales",0.0941316900500896,0.258727444834101,0.164595754784011
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"ventralscales","subcaudalscales",0.221065530342981,0.227713031,0.00664750065701902
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"ventralscales","midbodydorsalscales",0.0162981060443757,0.177760002,0.161461895955624
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"ventralscales","infralabialscales",0.0957949250604625,0.615519179,0.519724253939537
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"ventralscales","supralabialscales",0.0288155085635775,0.212355342,0.183539833436422
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"ventralscales","postocularscales",0.050702481156539,-0.670204125,0.720906606156539
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"subcaudalscales","midbodydorsalscales",-0.0236348806695941,0.095859589,0.119494469669594
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"subcaudalscales","infralabialscales",0.0299657859548138,0.291670989,0.261705203045186
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"subcaudalscales","supralabialscales",-0.00357270932563614,-0.130316753,0.126744043674364
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"subcaudalscales","postocularscales",0.0353117130510181,-0.127155106,0.162466819051018
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"midbodydorsalscales","infralabialscales",0.0144348705744566,-0.158145515,0.172580385574457
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"midbodydorsalscales","supralabialscales",-0.0292572717928748,-0.034087333,0.0048300612071252
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"midbodydorsalscales","postocularscales",-0.0560066405161484,-0.868926165,0.812919524483852
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"infralabialscales","supralabialscales",0.15201351291286,-0.852278969,1.00429248191286
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"infralabialscales","postocularscales",0.130585725019802,1.327880004,1.1972942789802
NA,"Arn1999.49.csv","Thamnophis.elegans",NA,"supralabialscales","postocularscales",0.0808736084303189,1.341640786,1.26076717756968
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"ventralscales","subcaudalscales",0.239557651213112,0.462800954909622,0.22324330369651
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"ventralscales","midbodydorsalscales",-0.0468652865902676,0.0591335357970102,0.105998822387278
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"ventralscales","infralabialscales",0.0450326111319121,1.44249199721061,1.3974593860787
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"ventralscales","supralabialscales",0.0584229281645611,0.149030149015936,0.0906072208513749
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"ventralscales","postocularscales",-0.0170426380698581,0.135610190266072,0.15265282833593
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"subcaudalscales","midbodydorsalscales",0.0623131232085658,0.190992022658607,0.128678899450041
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"subcaudalscales","infralabialscales",0.0437499005857353,0.526973147907013,0.483223247321278
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"subcaudalscales","supralabialscales",-0.0734955175958581,0.508461917221792,0.58195743481765
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"subcaudalscales","postocularscales",0.033101686804377,0.204167354051184,0.171065667246807
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"midbodydorsalscales","infralabialscales",0.021274286459848,0.959781647984643,0.938507361524795
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"midbodydorsalscales","supralabialscales",0.0503467277179526,0.570384303239959,0.520037575522006
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"midbodydorsalscales","postocularscales",-0.0832708462949047,-0.628124528001378,0.544853681706473
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"infralabialscales","supralabialscales",0.0485894610644568,-0.653197264742181,0.701786725806638
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"infralabialscales","postocularscales",0.0422796975010838,0.639602149066831,0.597322451565747
NA,"Arn1999.50.csv","Thamnophis.elegans",NA,"supralabialscales","postocularscales",0.0530961005639275,0.456953846883707,0.403857746319779
NA,"Ash1999.7.csv","Fragaria.virginiana",NA,"carpel.number","petal.length",0.02,-0.19,0.21
NA,"Ash1999.7.csv","Fragaria.virginiana",NA,"carpel.number","stamen.length",0.03,-0.12,0.15
NA,"Ash1999.7.csv","Fragaria.virginiana",NA,"petal.length","stamen.length",0.42,0.65,0.23
NA,"Ash1999.8.csv","Fragaria.virginiana",NA,"carpel.number","petal.length",0.14,0.15,0.00999999999999998
NA,"Ash1999.8.csv","Fragaria.virginiana",NA,"carpel.number","stamen.length",0.08,0.07,0.01
NA,"Ash1999.8.csv","Fragaria.virginiana",NA,"petal.length","stamen.length",0.49,0.64,0.15
NA,"Ash2003.10.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.11,0.31,0.2
NA,"Ash2003.10.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.13,0.15,0.02
NA,"Ash2003.10.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.06,0.26,0.2
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"pollen.per.flower","petal.size",0.35,0.33,0.02
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"pollen.per.flower","flower.number",-0.02,-0.19,0.17
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"pollen.per.flower","ovules.per.flower",0.2,0.13,0.07
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.01,0.09,0.08
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.14,0.09,0.05
NA,"Ash2003.11.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.08,0.05,0.03
NA,"Ash2003.12.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.05,0.15,0.1
NA,"Ash2003.12.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.15,0.13,0.02
NA,"Ash2003.12.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.06,0.26,0.2
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"pollen.per.flower","petal.size",0.27,0.17,0.1
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"pollen.per.flower","flower.number",-0.05,-0.19,0.14
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"pollen.per.flower","ovules.per.flower",0.23,0.07,0.16
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.04,-0.05,0.09
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.02,0.02,0
NA,"Ash2003.13.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.01,0,0.01
NA,"Ash2003.14.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.07,0.02,0.05
NA,"Ash2003.14.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.06,0.03,0.03
NA,"Ash2003.14.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.07,0.12,0.05
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"pollen.per.flower","petal.size",0.32,0.41,0.09
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"pollen.per.flower","flower.number",-0.06,-0.12,0.06
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"pollen.per.flower","ovules.per.flower",0.2,0.25,0.05
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"petal.size","flower.number",0.06,0.06,0
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"petal.size","ovules.per.flower",0.07,0.08,0.01
NA,"Ash2003.9.csv","Fragaria.virginiana",NA,"flower.number","ovules.per.flower",0.04,0.04,0
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"femurlength","headwidth",0.76,0.73,0.03
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"femurlength","prothoraxlength",0.49,0.48,0.01
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"femurlength","prothoraxwidth",0.72,0.72,0
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"femurlength","ovipositorlength",0.56,0.46,0.1
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"headwidth","prothoraxlength",0.54,0.66,0.12
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"headwidth","prothoraxwidth",0.8,0.72,0.0800000000000001
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"headwidth","ovipositorlength",0.56,0.46,0.1
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"prothoraxlength","prothoraxwidth",0.51,0.69,0.18
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"prothoraxlength","ovipositorlength",0.42,0.46,0.04
NA,"Beg2003.79.csv","Gryllus.veletis",NA,"prothoraxwidth","ovipositorlength",0.57,0.51,0.0599999999999999
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.85,0.81,0.0399999999999999
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.81,0.83,0.0199999999999999
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.86,0.78,0.08
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.66,0.57,0.0900000000000001
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.81,0.8,0.01
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.9,0.91,0.01
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.71,0.61,0.1
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.84,0.86,0.02
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.64,0.57,0.0700000000000001
NA,"Beg2003.81.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.67,0.52,0.15
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"femurlength","headwidth",0.77,0.8,0.03
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"femurlength","prothoraxlength",0.62,0.67,0.05
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"femurlength","prothoraxwidth",0.78,0.83,0.0499999999999999
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"femurlength","ovipositorlength",0.52,0.61,0.09
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"headwidth","prothoraxlength",0.62,0.73,0.11
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"headwidth","prothoraxwidth",0.82,0.86,0.04
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"headwidth","ovipositorlength",0.47,0.53,0.0600000000000001
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"prothoraxlength","prothoraxwidth",0.63,0.65,0.02
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"prothoraxlength","ovipositorlength",0.37,0.37,0
NA,"Beg2003.83.csv","Gryllus.pennsylvanicus",NA,"prothoraxwidth","ovipositorlength",0.46,0.53,0.07
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.799656422069281,0.759113116282117,0.040543305787164
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.732334099395781,0.722393323847689,0.00994077554809203
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.241670180689355,0.760433674902032,0.518763494212677
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.308941233030454,0.498106114594971,0.189164881564517
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.748499325781118,0.737342999421016,0.011156326360102
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.824995710707911,0.858536993949886,0.033541283241975
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.704002762687418,0.628828145522532,0.075174617164886
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.714822367351422,0.668777044425966,0.046045322925456
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.621073489256102,0.523560953597252,0.09751253565885
NA,"Beg2004.84.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.647069657943471,0.439036586905544,0.208033071037927
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.783839345692078,0.960468635614927,0.176629289922849
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.683419332927933,0.641372509273803,0.04204682365413
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.57942516214373,0.295803989154981,0.283621172988749
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.788416287016413,0.760002932115734,0.028413354900679
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.815738121581555,0.846226262020001,0.0304881404384459
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.903105353884449,0.554361861215877,0.348743492668572
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.713110176586284,0.87783007331217,0.164719896725886
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.837696894119298,0.760128299075821,0.077568595043477
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.637105935449375,0.758714659859279,0.121608724409904
NA,"Beg2004.85.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.671950489170806,0.414831480462429,0.257119008708377
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.848932246572816,0.812340224799236,0.03659202177358
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.804333178118462,0.829813623571648,0.025480445453186
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.854826462972818,0.780985856829816,0.0738406061430019
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.664502101717964,0.560975543247138,0.103526558470826
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.815738121581555,0.796633887467005,0.01910423411455
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.903105353884449,0.910304027033581,0.00719867314913203
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.713110176586284,0.594545505528847,0.118564671057437
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.837696894119298,0.858807289567916,0.0211103954486179
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.637105935449375,0.562592709697678,0.0745132257516969
NA,"Beg2004.86.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.671950489170806,0.509242887258829,0.162707601911977
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.78286478264072,0.41281677584334,0.37004800679738
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.767637323568887,0.705953518562214,0.061683805006673
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.787817037710851,0.776205864234492,0.011611173476359
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.632679914216635,0.223673337491892,0.409006576724743
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.829677871657616,1.39655596034264,0.566878088685024
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.907287407177296,1.4245396525989,0.517252245421604
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.760885910252682,0.274888694408836,0.485997215843846
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.874440584463994,0.86664267072224,0.00779791374175398
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.731494996655049,0.438250490089278,0.293244506565771
NA,"Beg2004.87.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.757092850415152,0.405539610715692,0.35155323969946
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.810285886826869,0.701811193316476,0.108474693510393
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.784656262294483,0.791256568074944,0.006600305780461
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.805502974506296,0.708029076544236,0.0974738979620601
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.68574780866632,0.744387368318777,0.058639559652457
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.803346658459806,0.705882582111816,0.09746407634799
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.882570212606442,0.838630326905903,0.043939885700539
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.718856708174458,0.716377331396253,0.00247937677820498
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.802337759317339,0.673715682637227,0.128622076680112
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.64480219257511,0.681032862245232,0.036230669670122
NA,"Beg2004.88.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.652746808706923,0.553400296031034,0.099346512675889
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"femurlength","headwidth",0.879535632732271,0.90490787594578,0.0253722432135091
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"femurlength","prothoraxlength",0.88152147174756,0.95349868581766,0.0719772140700999
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"femurlength","prothoraxwidth",0.882934876249844,0.928490191111227,0.045555314861383
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"femurlength","ovipositorlength",0.740813187237836,0.887864770736398,0.147051583498562
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"headwidth","prothoraxlength",0.892870339600923,0.911583682426054,0.018713342825131
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"headwidth","prothoraxwidth",0.912437231238379,0.894355326631775,0.0180819046066041
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"headwidth","ovipositorlength",0.78182773538711,1.01158967187143,0.22976193648432
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"prothoraxlength","prothoraxwidth",0.889979224596862,0.90616687331409,0.016187648717228
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"prothoraxlength","ovipositorlength",0.710984043764349,0.817268550688672,0.106284506924323
NA,"Beg2004.89.csv","Gryllus.firmus",NA,"prothoraxwidth","ovipositorlength",0.754112457991806,0.940011750220317,0.185899292228511
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","beak.after",0.73,0.987,0.257
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","condition",0.15,0.387,0.237
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","hematocrit",0.07,0.115,0.045
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","PHA.assay",0.04,0.178,0.138
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","diptheria.assay",0.04,0.252,0.212
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","tetanus.assay",0.06,0.635,0.575
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.before","body.mass",0.1,0.094,0.00600000000000001
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","condition",0.13,0.292,0.162
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","hematocrit",0,-0.073,0.073
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","PHA.assay",0.03,0.239,0.209
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","diptheria.assay",0.03,0.311,0.281
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","tetanus.assay",0.06,0.75,0.69
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"beak.after","body.mass",0.09,-0.003,0.093
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"condition","hematocrit",0.12,0.516,0.396
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"condition","PHA.assay",0.06,0.226,0.166
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"condition","diptheria.assay",-0.03,0.058,0.088
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"condition","tetanus.assay",0.04,0.47,0.43
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"condition","body.mass",0.91,0.89,0.02
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"hematocrit","PHA.assay",0.04,0.082,0.042
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"hematocrit","diptheria.assay",0.03,0.364,0.334
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"hematocrit","tetanus.assay",0.05,0.646,0.596
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"hematocrit","body.mass",0.11,0.424,0.314
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"PHA.assay","diptheria.assay",-0.04,-0.538,0.498
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"PHA.assay","tetanus.assay",-0.02,-0.281,0.261
NA,"Bir2005.120.csv","Taeniopygia.guttata",NA,"PHA.assay","body.mass",0,0.079,0.079
